cell,status,attempts,r0,esr,recall_at_k,selection_accuracy,R0,R1,R2,R3,R4,R5,R6,ok,router_tok_mean,agent_tok_mean,cost_total,cost_per_attempt,router_lat_mean,agent_lat_mean,total_lat_mean_non_r0
baseline-n5.yaml,completed,78,0,0.8076923076923077,,0.8974358974358975,0,0,3,8,4,0,0,63,0,281.9102564102564,0.11278799999999999,0.0014459999999999998,0,1277.632233923077,1277.8046111538451
baseline-n10.yaml,completed,78,0,0.782051282051282,,0.782051282051282,0,0,8,7,2,0,0,61,0,411.0897435897436,0.15262799999999999,0.0019567692307692307,0,1701.184792717949,1701.2864604358979
baseline-n25.yaml,completed,78,0,0.7435897435897436,,0.7435897435897436,0,0,12,7,1,0,0,58,0,826.1410256410256,0.2821079999999999,0.00361676923076923,0,1463.5901442179481,1463.6714123589743
baseline-n50.yaml,completed,78,0,0.7692307692307693,,0.7564102564102564,0,0,11,7,0,0,0,60,0,1532.6153846153845,0.5022879999999998,0.006439589743589742,0,1475.1866213205137,1475.2622201025697
baseline-n100.yaml,completed,78,0,0.7692307692307693,,0.7307692307692307,0,0,11,7,0,0,0,60,0,2981.576923076923,0.9543960000000001,0.012235846153846156,0,1953.4764187564112,1953.5811495769176
jev-top1-n5.yaml,completed,78,0,0.7692307692307693,0.9230769230769231,1,0,3,0,8,7,0,0,60,451.28205128205127,168.85897435897436,0.07891131,0.0010116834615384615,350.0413766923026,1505.2934598717898,1855.429699820514
jev-top1-n10.yaml,completed,78,1,0.7532467532467533,0.9090909090909091,1,1,4,0,8,7,0,0,58,576.8974358974359,166.52564102564102,0.07813123000000001,0.001001682435897436,321.914504246759,1689.666813870133,2011.733688259733
jev-top1-n25.yaml,completed,78,0,0.7051282051282052,0.8717948717948718,1,0,9,0,8,6,0,0,55,979.0641025641025,169.07692307692307,0.08077540799999998,0.0010355821538461537,263.81180614101675,1451.7994059743628,1715.6902478846143
jev-top1-n50.yaml,completed,78,0,0.7051282051282052,0.8589743589743589,1,0,10,0,8,5,0,0,55,1653.7435897435898,169.17948717948718,0.08241314199999997,0.0010565787435897432,197.92237921794637,1325.18352402564,1523.1897483333282
jev-top1-n100.yaml,completed,78,0,0.6923076923076923,0.8717948717948718,1,0,9,0,8,7,0,0,54,3035.5897435897436,169.26923076923077,0.085637372,0.0010979150256410256,234.83888784614808,1358.2671725769194,1593.214145820528
jev-top5-n5.yaml,completed,78,0,0.8205128205128205,1,0.9102564102564102,0,0,2,8,4,0,0,64,451.28205128205127,281.9230769230769,0.11409131000000002,0.0014627091025641028,172.45489207694294,1451.6097013974436,1624.1521987051326
jev-top5-n10.yaml,completed,78,0,0.782051282051282,1,0.8205128205128205,0,0,6,7,4,0,0,61,584.525641025641,271.7564102564103,0.11096797799999998,0.0014226663846153844,181.81349773077258,1610.0555015384573,1792.1631052820578
jev-top5-n25.yaml,completed,78,0,0.7692307692307693,0.9487179487179487,0.8378378378378378,0,3,5,8,2,0,0,60,979.0641025641025,282.2307692307692,0.115167408,0.0014765052307692307,394.98968215385236,1656.8302338846172,2051.9652853205125
jev-top5-n50.yaml,completed,78,0,0.7564102564102564,0.9487179487179487,0.8513513513513513,0,3,6,8,2,0,0,59,1653.7435897435898,284.2307692307692,0.11746114200000002,0.0015059120769230772,228.3011228846034,1604.1401730127818,1832.716998935895
jev-top5-n100.yaml,completed,78,0,0.7564102564102564,0.9487179487179487,0.8648648648648649,0,4,4,8,3,0,0,59,3035.576923076923,289.7307692307692,0.12240537200000004,0.0015692996410256416,236.7056650769097,1504.1854315384692,1741.3508647948725
